제목,저자,역자,글그림,그림,기획,감수,글,출판사,출간일,가격,평점,리뷰수,상세페이지링크,페이지 수,카테고리,책설명
어른의 행복은 조용하다,태수,,,,,,,페이지2북스,2024년 11월,16020,9.5,369,https://www.yes24.com/product/goods/136298166,288,국내도서 에세이 삶의 자세와 지혜,"행복을 찾는 방법이 아니라불행에 대한 수비력을 길러주는58가지 인생 이야기《1cm 다이빙》, 《홈 in 홈》으로 많은 사랑을 받았던 에세이스트 태수가 2년 만의 신작 《어른의 행복은 조용하다》로 돌아왔다. 이번 신작에서 자 태수는 그동안 선보였던 이야기보다 한층 성숙하고 현명하게 삶의 행복에 가까워지는 방법에 대해 이야기한다. 새로운 것, 짜릿한 것, 남들보다 높은 곳에서 행복하고 싶어 발버둥치는 사람들에게 행복은 꼭 그런 데에만 있는 게 아니라 불행해지지 않는 것에서부터 출발한다고 조용히 일러준다.《어른의 행복은 조용하다》는 요란한 세상에서도 흔들리지 않고 내 삶을 살아가는 튼튼하고 단단한 태도를 담아냈다. 시끌벅적 기쁜 일을 찾아다니기보다도, 울 일이 없고 별다른 나쁜 일이 없는 하루를 만들어야 한다고 강조한다. 그랬을 때에야 비로소 진정한 행복이 우리 곁에 온다는 사실을 다시 한번 일깨워준다.이 책을 먼 읽은 독자들의 반응 시 뜨겁다. “울고 싶어지는 날이면 태수 작가의 글을 찾는다. 충분히 울고 다시 나아가기 위해”, “『불편한 편의점』 이후로 오랜만에 끝나지 않길 바라던 책”이라며 극찬하하며, 자의 SNS에서 5만여 명의 독자에게 선보인 선공개 원고에도 빨리 책으로 출간해달라는 요청이 쇄도했다. 이제 당신 차례다. 《어른의 행복은 조용하다》를 읽고 현명하게 행복을 찾아보자. 혹자는 여전히 의심스러운 목소리로 그토록 조용한 인생에서도 행복을 발견할 수 있냐고 묻지만 자는 확신에 찬 목소리로 단호하게 답한다. “물론”이라고."
ETF 투자의 모든 것,문일호,,,,,,,매일경제신문사,2025년 08월,18900,9.9,37,https://www.yes24.com/product/goods/150166715,320,국내도서 경제 경영 투자 재테크 주식 증권,"‘염블리’ 염승환 이사 강력 추천더 이상 미룰 수 없다! 적금 대신 주식 대신 이제는 ETF영리한 시뮬레이션을 통해 나에게 딱 맞는 ETF 포트폴리오로 자산과 현금흐름을 세팅하라ETF는 분산투자의 장점을 살린 안전하면서도 수익률 높은 재테크다. 안 할 이유가 없는 완벽한 방법이지만 제대로 활용하지 못하는 사람들이 여전히 많다. 대세임을 증명하듯 점점 더 많은 ETF 상품이 마구 쏟아져 나오니 선택장애를 겪기도 한다. 증권전문기자의 정보와 경험을 바탕으로, 본격적인 시작점에 있는 사람들이 당장 맞닥뜨리는 ETF 투자의 A부터 Z까지 조목조목 담아낸 책이 나왔다. 그들의 눈높이에 맞춰 안정적인 ETF에서 수익률 높은 ETF까지 단계별로 설명하면서 지금 핫한 ETF도 빠뜨리지 않고 다루었다. 10억 원의 자산과 월 300만 원 현금흐름 만드는 ETF 조합을 기본으로 마다 최적의 포트폴리오를 찾을 수 있도록 상세한 공식을 제시한다는 것이 이 책의 핵심이다.ETF 투자 A부터 Z까지 가장 잘 활용하는 방법 ·  워런 버핏도 얘기했다, ETF가 답이라고! ·  영어 + 숫자 + 한글 = ETF ·  이제 치킨집이 아니라 ETF로 금융창업을! ·  절세계좌로 S&P500부터 시작 ·  JEPI + JEPQ = 연봉 1억 원 ·  닥치고 슈드와 QQQ로 은퇴하기 ·  제2의 월급통장이 되어줄 DIVO"
원피스 ONE PIECE 112,오다 에이이치로,,,,,,,대원,2025년 10월,5400,0.0,0,https://www.yes24.com/product/goods/159493426,210,국내도서 만화 라이트노벨 액션,책소개 없음
호의에 대하여,문형배,,,,,,,김영사,2025년 08월,16920,9.5,166,https://www.yes24.com/product/goods/152298374,408,국내도서 에세이 한국 에세이,"문형배 재판관이 편견과 독선에 빠지지 않고 작고 평범한 보통의 삶을 지키기 위해 배우고 성찰하며 기록한 120편의 글.나의 일상을 풍요롭게 채우는 건 어떤 의미인가, 다른 사람의 삶을 온전히 이해할 수 있는가, 사람과 사회는 바뀔 수 있는가. 자작나무에서 지리산으로, 도스토옙스키에서 몽테스키외로, 일상에서 재판까지. 호의는 사람을, 세상을 어떻게 바꾸는가. 받은 것을 사회에 되돌려주라던 김장하 선생과의 추억, 법을 몰라 손해 보는 이들을 헤아리는 마음, ‘자살’을 시도했던 재소자가 ‘살자’는 다짐을 하게 만든 선물, 사랑하는 이를 그리워하며 속절없이 흘리는 눈물, 그리고 건강한 법원과 사회를 향한 진심 어린 조언… 더 나은 길에 대한 소박한 상상과 아름다운 이들에 대한 따뜻한 진심.문형배가 말하는 결코 탄핵할 수 없는 것에 대하여."
류수영의 평생 레시피,류수영,,,,,,,세미콜론,2025년 06월,22500,9.7,279,https://www.yes24.com/product/goods/148068039,272,국내도서 가정 살림 요리 생활요리  가정식탁요리,"“된장찌개에 식초를 넣었더니, 감칠맛은 더하고 잡내가 날아갔어요.”“당근 기름 하나로 모든 재료를 볶아 만든 김밥은, 향과 풍미가 최고예요.”“설거지 걱정 없이 간단한데 맛은 레스토랑, 원 팬 파스타 이건 혁명이에요!”“미국에 사과를 넣어 끓인다고요? 오, 이거 대박이에요. 꼭 한번 해보세요.”매일 쏟아지는 후기가 증명하는대한민국 대표 집밥 마스터, 류수영의 첫 요리책!너무 쉬워서 너무 맛있어서 대한민국 밥상을 발칵 뒤집어놓은, 자타공인 집밥 마스터 ‘어남선생’ 류수영. 수년간 자체 개발한 300여 개의 레시피를 추리고 추리고 추려서 한 권의 책으로 펴낸다. 남녀노소 모두의 입맛을 사로잡을 메뉴부터 한껏 분위기를 낼 수 있는 특식까지, 〈편스토랑〉을 비롯해 그동안 방송에서 소개했던 레시피 중에서 가장 사랑받은 79가지 메뉴를 엄선한 것이다. 책으로 만드는 과정에서 다시 한번 재료와 계량 및 소요 시간에 대한 꼼꼼한 점검이 이루어졌으며, 그 결과 좀 더 정교하고 완벽한 레시피로 재탄생했다.부엌이 좁은 자취생, 끼니 챙기기가 막막한 사회 초년생, 이제 막 결혼한 신혼부부, 아이를 키우는 양육자, 은퇴하신 아버지까지, 남녀노소 불문하고 대한민국 국민이라면 모두의 필독서이다. 류수영이 만드는 음식은 조리법이 복잡하고 어려운 요리가 아니라, 렴하고 일상적인 재료로 쉽고 간단하지만 깊은 맛을 내는 것이 특징이다. 또한 계량스푼이나 계량컵이 아닌 밥숟가락과 티스푼, 물컵과 소주잔을 이용하고, 후추나 식용유 시 따로 덜지 않고 용기에서 바로 계량할 수 있도록 하는 등 극강의 간편함을 추구한다. 특히 이번 책에서는 조리도구도 프라이팬, 냄비, 칼 등만 있으면 모든 요리가 가능하며, 그 흔한 오븐이나 에어프라이어 없이 완성할 수 있도록 구성했다.사소한 부분까지 상세하게 설명하고 있어 요리 초보자들도 쉽게 따라 할 수 있다는 점은 이 책의 가장 큰 매력 중 하나일 것이다. 제육볶음의 양념은 밀폐용기 뚜껑을 닫고 흔들면 잘 버무려진다거나, 닭볶음탕의 감자는 웍 가장자리 쪽에 빙 둘러 넣으면 부서지지 않는다거나, 냄비에 식용유를 넣고 바닥에 물결이 생기면 충분히 예열된 것이라거나, 닭백숙을 끓일 때 닭의 다리 힘줄 옆에 칼집을 내고 반대쪽 다리를 넣어 꼬아준다거나, 다진 마늘은 마지막에 넣어야 향이 훨씬 좋다거나, 카레나 반죽물을 갤 때 포크를 이용하면 잘 섞인다거나 하는 것들이 그것이다. 거의 모든 단계마다 적혀 있는 생생한 팁들은 마치 바로 옆에서 나만을 위해 안내하듯 친절하다. 수년에 걸쳐 거듭한 실패와 성공을 바탕으로 다듬어진 정교한 레시피인 만큼 독자들은 그런 시행착오를 조금이라도 덜 경험하기를 바라는 류수영의 마음이다.유튜브에서 ‘류수영 레시피’ ‘어남선생 레시피’ 검색어를 입력하면 뜨는 영상의 누적 합산은 무려 3억 뷰가 넘는다. (2025년 5월 기준) 여기에 쇼츠, 그리고 인스타그램 등의 SNS 채널까지 더하면 더 이상 집계가 어려워질 정도인데, 렴한 비용으로 차리는 푸짐하고 근사한 집밥, 매일 쏟아지는 후기가 보증한다. “요리 왕초보입니다. 덕분에 우리 집 식탁이 풍부해져요.” “어남선생은 그냥 요리 천재다.” “많은 레시피를 따라해봤지만 류수영 레시피만큼 쉽고 맛있는 건 없었어요.” “너무 맛있어서 내가 한 거 맞나 싶었어요.” 실제로 SNS에는 많은 시청자들이 류수영의 레시피를 따라 요리한 후기와 인증샷 혹은 영상이 올라오고, 관련 유튜브 동영상마다 수백 개의 댓글이 달릴 정도로 높은 참여와 호응을 얻고 있다."
시대예보: 경량문명의 탄생,송길영,,,,,,,교보문고,2025년 09월,19800,9.5,22,https://www.yes24.com/product/goods/152644797,양,국내도서 경제 경영 경제 각국 경제 경제사 전망 경제전망,"거대함은 더 이상 안전을 보장하지 않는다.가볍고 빠르게 적응하는 조직과 개인만이 살아남는 ‘경량문명’의 탄생을 선언합니다.지금 우리 사회의 화두 중 하나는 ‘희망퇴직’이다. 몇 년 전만 해도 희망퇴직은 유동성에 위기를 겪는 기업이 단기간에 이를 해결하기 위해 사용하는 긴급 처방이었다. 하지만 최근 몇 년 사이에 마치 상시 제도처럼, 하루가 멀다고 대기업들의 ‘희망퇴직’ 뉴스가 들려온다. 그 대상도 10년 이상 일한 50대에서 1년 차 20대까지 확대되었다. 이쯤 되면 이는 단순한 유동성 확보의 문제가 아니다. 조직 자체의 의미와 구조를 바꿀 만한 거대한 변화가 우리 사회에 벌어지고 있다. 그동안 ‘핵개인’과 ‘호명사회’라는 혁신적인 키워드로 개인에 초점을 맞춰 우리 사회의 변화를 소개해온 송길영 작가가 세 번째 《시대예보》로 돌아왔다. 이번에는 ‘경량문명의 탄생’을 선언하며, 우리 사회의 모든 ‘조직’ 단위에서 일어나고 있는 변화를 날카로운 시선과 섬세한 표현으로 소개한다."
렛뎀 이론,멜 로빈스,윤효원,,,,,,비즈니스북스,2025년 08월,18000,9.7,167,https://www.yes24.com/product/goods/149739762,392,국내도서 자기계발 처세술 삶의 자세,"◆ 출간 즉시 아마존 베스트셀러 종합 1위!◆ 600만 독자가 공감한, 가장 ‘chill하게’ 인생을 바꾸는 생각 도구!◆ 오프라 윈프리, 김소영 아나운서, 주언규 PD, 유튜버 미키김 강력 추천!“그들의 감정은 내 몫이 아닙니다.내버려두세요. 그리고 당신이 할 일을 하세요!”지금 직장에서, 인간관계에서, 그리고 일상에서 답답함이나 버거움, 또는 좌절감을 느끼고 있다면, 문제는 당신이 아니다. 그건 당신이 인생을 주체적으로 이끌 힘을 타인에게 넘겨주었기 때문이다. 즉 남의 기대, 남의 말, 남의 감정, 남의 행동 같은 통제할 수 없는 일에 에너지와 시간을 낭비하느라, 내가 마땅히 누려야 할 행복의 길로 가지 못하고 있는 것이다. 바로 이럴 때 ‘렛뎀’(Let Them), 즉 내버려두기의 기술을 기억한다면 내 인생의 주도권을 다시 가져올 수 있다.자 멜 로빈스는 이 책에서 중요하지도 않은 것들을 신경 쓰느라 나를 소모하는 싸움에서 벗어나, 진정 중요한 것 ― 즉 자기 자신, 자기 행복, 목표, 인생 ― 에 집중하는 방법을 알려준다. 통제할 수 없는 일에 에너지를 낭비하지 않는 법, 끊임없는 비교를 멈추고 두려움과 자기 의심을 극복하는 법, 타인의 기대나 평가에서 자유로워지는 법, 건강한 인간관계와 깊은 유대를 만드는 법, 중요한 목표를 자신 있게 추구하는 법, 스트레스에 대한 회복력을 기르는 법, 나만의 성공과 성취의 길을 찾는 법... 이 책은 자가 SNS에 올린 짧은 영상이 수천만 뷰를 기록하고, ‘Let Them’ 타투 인증샷이 유행처럼 번지면서 그 화제성을 업고 출간하게 되었다. 수백만 독자의 공감과 열렬한 지지를 얻으며 출간 즉시 아마존 베스트셀러 종합 1위에 오른 《렛뎀 이론》은, 오롯이 ‘나’로 충만한 인생을 살고 싶어진 모든 이에게 행복의 잠재력을 열어줄 가장 쉽고 심플한 도구를 선물할 것이다.“정확히 내가 하고 싶은 말이다. 지금껏 읽은 자기계발서 중 단연 최고다!”  ―  오프라 윈프리 (방송인)"
흔한남매 20,흔한남매,,,유난희,,흔한컴퍼니,,미래엔아이세움,2025년 09월,15120,9.9,137,https://www.yes24.com/product/goods/153711876,양,국내도서 어린이 1-2학년 1-2학년 만화 애니메이션 1-2학년 만화일반,"상상을 초월하는 아이디어로 큰 웃음을 선사하는 흔한남매!갯벌에서 진주를 찾는 흔한남매, 지구 침략을 노리는 외계인, 발톱을 먹고 으뜸이로 변신한 쥐, 비밀 공간 만들기 대결, 세상에서 단 하나뿐인 뚱보 늘보로 변신한 으뜸이 등 대폭소가 터지는 흔한남매의 일상 속으로 출발해 봅시다!유튜브 296만 구독 돌파! 인기 크리에이터 흔한남매‘흔한남매’는 유튜브 구독자 수가 296만 명, 누적 조회 수가 40억 회를 넘어서는 인기 크리에이터로, 흔한컴퍼니에 소속되어 있습니다. 상황극콩트 등을 통해 어린이들에게 큰 사랑을 받고 있으며, 주로 남매 사이에서 일어날 수 있는 현실적인 에피소드를 코믹하게 그려 내어 웃음과 공감을 이끌어 내고 있습니다.“흔한남매를 읽고 까르르 웃을 때가 제일 행복한 시간이래요.” ‘유쾌한 우애’와 ‘순수한 웃음’, ‘따뜻한 공감’으로 어린이들의 마음을 사로잡은 No.1 베스트셀러!《흔한남매》 시리즈는 ‘흔한남매’ 유튜브 영상의 스토리를 앙증맞고 유머러스한 만화로 풀어 낸 코믹북입니다. 하루도 조용할 날이 없는 으뜸이와 에이미의 일상 스토리는 진짜 웃음이 필요한 어린이들에게 유쾌한 우애와 순수한 웃음을 선사할 것입니다."
돈의 심리학 (30만 부 기념 스페셜 에디션),모건 하우절,이지연,,,,,,인플루엔셜,2021년 01월,17820,9.4,1174,https://www.yes24.com/product/goods/96547408,양,국내도서 경제 경영 투자 재테크 재테크일반,"가장 크게 성공한 투자자 vs. 가장 크게 파산한 투자자무엇이 이 둘의 운명을 갈랐는가‘소설가의 기술을 가진 금융작가’ ‘스토리텔링의 천재’ 최우수 비즈니스 작가상 수상에 빛나는 모건 하우절의 작왜 누군가는 부자가 되고, 왜 누군가는 실패자로 남는가전 월스트리트널 기자가 수많은 취재와 연구 끝에 깨달은 부의 비밀월스트리트널에서 10년 넘게 금융과 투자에 대한 글을 써온 칼럼니스트이자 콜라보레이티브 펀드 파트너로 활동중인 모건 하우절의 첫 책이다. 출간 즉시 아마존 투자 분야 1위를 차지했고 개인 투자자부터 전문 컨설턴트까지 극찬 세례를 받으며 명실상부 ‘2020 아마존 최고의 금융도서’로 평가받는다.《돈의 심리학》은 총 20개 스토리로 구성되어 있다. ‘스토리텔링의 천재’ ‘소설가의 기술을 가진 금융 작가’라는 별명답게 모건 하우절이 들려주는 20개의 투자 스토리는 대단히 매력적이다. 하나하나 실화와 실증에 바탕을 두되 이야기의 재미와 투자의 교훈을 빠짐없이 담아냈다. 제2차 세계대전 당시 독일의 탱크 부대 이야기, 마이크로소프트 창업에 관한 빌 게이츠의 고백, LA에서 주차 대행 아르바이트를 하던 시절 페라리에 얽힌 에피소드, 워런 버핏의 놀라운 수익률의 비밀까지 다양한 이야기를 흥미롭게 전개하여 읽는 이들을 단번에 사로잡는다. 또한 그 끝에는 하나같이 감탄을 부르는 탁월한 통찰을 담고 있다. 부에 관한 문제는 결국 학력, 지능, 노력과 직접적 관련이 없으며 돈에 관한 인간의 편향, 심리, 다시 말해 ‘돈의 심리학’과 밀접한 관련이 있음을 깨닫게 한다."
어른의 품격을 채우는 100일 필사 노트,김종원,,,,,,,청림Life,2025년 03월,18000,9.8,196,https://www.yes24.com/product/goods/142687238,양,국내도서 자기계발 처세술 삶의 자세,"“마흔 이후 삶의 품격은 인생을 살아가는 태도에서 나온다”120만 독자의 멘토 김종원 작가가 전하는 삶을 관통하는 조언과 위로의 문장들오랜 시간 동안 필사를 강조한 120만 독자의 멘토 김종원 작가가 지난 40대를 돌아보며 ‘진정한 어른이 되기 위해서 무엇이 필요한가’에 대한 자신의 진솔한 생각을 단 한 권의 필사책으로 집필했다. 『어른의 품격을 채우는 100일 필사 노트』는 자가 20년간 연구한 철학을 토대로, 자의 경험에서 끌어올린 조언과 위로를 아낌없이 담았다. 이 책을 통해 독자는 인간관계, 처세술, 감정 관리 등 우리의 삶을 관통하는 지혜를 직접 필사하며 얻을 수 있으며, 10일 단위로 자가 던지는 인생 질문을 통해 삶을 점검하고 방향성을 재정립할 수 있다. 김종원 작가는 내면을 들여다보기에 필사만큼 좋은 도구는 없다고 이야기한다. 필사는 타인의 글을 통해 자신의 삶과 감정을 돌아보도록 돕는 지적인 도구이기 때문이다. 이미 김종원 작가의 글로 하루하루를 필사로 채워온 120만 독자가 필사의 힘을 증명한다. 필사하는 삶은 반드시 달라진다. 오늘부터 중요하지 않은 것들에 인생을 소모하지 않도록, 나를 채우는 100일의 필사를 시작해 보자."
혼모노,성해나,,,,,,,창비,2025년 03월,16200,9.1,587,https://www.yes24.com/product/goods/143911524,368,국내도서 소설 시 희곡 한국소설 한국 단편소설,"“‘몰입’의 파티다. 영화로 만들고 싶은 작품들로 가득하다.” -배우 박정민‘2024 한국문학의 미래가 될 젊은 작가’ 1위 선정!지금 가장 생생하고 뜨거운 이름,성해나라는 강렬한 세계2024·2025 젊은작가상, 2024 이효석문학상 우수작품상 수상작 수록작품마다 치밀한 취재와 정교한 구성을 바탕으로 한 개성적인 캐릭터와 강렬하고도 서늘한 서사로 평단과 독자의 주목을 고루 받으며 새로운 세대의 리얼리즘을 열어가고 있다 평가받는 작가 성해나가 두번째 소설집 『혼모노』를 선보인다. 성해나는 2024·2025 젊은작가상, 2024 이효석문학상 우수작품상, 2024 김만중문학상 신인상 등 다수의 문학상을 연달아 수상하고 온라인 서점 예스24가 선정한 ‘2024 한국문학의 미래가 될 젊은 작가’ 투표에서 1위로 선정되는 등 이미 그 화제성을 증명한 바 있다. 첫 소설집 『빛을 걷으면 빛』(문학동네 2022)에서 타인을 이해하려는 시도를 부드럽고 따스한 시선으로 담아내고, 첫 장편소설 『두고 온 여름』(창비 2023)에서 오해와 결별로 얼룩진 과거에 애틋한 인사를 건네고자 했던 그가 『혼모노』에 이르러 더욱 예리해진 문제의식과 흡인력 넘치는 서사를 통해 지, 정치, 세대 등 우리를 가르는 다양한 경계를 들여다보며 세태의 풍경을 선명하게 묘파해낸다. 특히 이번 소설집에는 지난해 끊임없이 호명되며 문단을 휩쓸었다 해도 과언이 아닐 표제작 「혼모노」를 비롯해 작가에게 2년 연속 젊은작가상을 선사해준 「길티 클럽: 호랑이 만지기」, 이 계절의 소설과 올해의 문제소설에 선정된 「스무드」 등이 수록되어 더욱 눈길을 끈다. “작가의 ‘신명’이라 불”릴(추천사, 이기호) 만큼 “질투 나는 재능”(추천사, 박정민)으로 빛나는 『혼모노』, 그토록 기다려왔던 한국문학의 미래가 바로 지금 우리 앞에 도착해 있다."
조용한 회복,박재연,,,,,,,한빛라이프,2025년 09월,19800,9.8,20,https://www.yes24.com/product/goods/153259638,384,국내도서 인문 인문 교양 인문에세이,"“인생을 흔드는 무너짐 속에서도 다시 나를 찾아갑니다.”삶의 균열 앞에서 나를 돌보는 연습을 시작해보세요.『엄마의 말하기 연습』, 『나는 왜 네 말이 힘들까』 등의 베스트셀러 자이자 〈유 퀴즈 온 더 블록〉, 〈세바시〉 등 다양한 방송에 출연하며 대화와 관계 치유 방법을 전파해온 갈등중재전문가, 리플러스인간연구소 박재연 소장의 신간이 출간되었다. 이 책에서는 말을 다루다 관계를 공부하게 되고, 결국 사는 것은 죽음과 닿아 있다는 것을 깨달은 자가 삶에서의 다양한 상실의 형태와 의미를 짚어본다. 그리고 우리가 살아오며 겪은 상실을 충분히 애도하는 법에 대해 알려주면서 오늘 하루를 더 충실하게 살아갈 힘을 준다."
